"","time","Away","Home","Park","temp","precip","blowing_right","blowing_out","date"
"1","01:05 PM EST","  Marlins  ","  Phillies  ","Citizens Bank Park",83,2,2.05060966544099,-2.05060966544099,2022-08-11
"2","01:10 PM EST","  Guardians  ","  Tigers  ","Comerica Park",78,0,6.43467170879758,6.43467170879758,2022-08-11
"3","02:10 PM EST","  White Sox  ","  Royals  ","Kauffman Stadium",86,0,-5.26611333531433,-2.18129556448101,2022-08-11
"4","02:10 PM EST","  Rangers  ","  Astros  ","Minute Maid Park",89,0,0,0,2022-08-11
"5","03:10 PM EST","  Cardinals  ","  Rockies  ","Coors Field",91,0,1.03324526738574,-2.49447473778047,2022-08-11
"6","03:40 PM EST","  Pirates  ","  Diamondbacks  ","Chase Field",99,0,0,0,2022-08-11
"7","07:10 PM EST","  Orioles  ","  Red Sox  ","Fenway Park",77,3,-1.79861213211592,-4.34223380280305,2022-08-11
"8","07:15 PM EST","  Cubs  ","  Reds  ","Field of Dreams",77,0,-2.87012574273817,-6.92909649383465,2022-08-11
"9","06:40 PM EST","  Braves  ","  Marlins  ","loanDepot park",85,0,0,0,2022-08-12
"10","07:05 PM EST","  Padres  ","  Nationals  ","Nationals Park",83,0,4.31335136523794,-4.31335136523794,2022-08-12
"11","07:07 PM EST","  Guardians  ","  Blue Jays  ","Rogers Centre",76,0,0,0,2022-08-12
"12","07:10 PM EST","  Tigers  ","  White Sox  ","Guaranteed Rate Field",75,0,5.35850128856546,-2.21956390771752,2022-08-12
"13","07:10 PM EST","  Orioles  ","  Rays  ","Tropicana Field",86,0,0,0,2022-08-12
"14","07:10 PM EST","  Phillies  ","  Mets  ","Citi Field",82,0,0,-8.4,2022-08-12
"15","07:10 PM EST","  Yankees  ","  Red Sox  ","Fenway Park",73,0,1.87514881858894,-4.52700970930531,2022-08-12
"16","08:05 PM EST","  Mariners  ","  Rangers  ","Globe Life Field",95,0,0,0,2022-08-12
"17","08:10 PM EST","  Dodgers  ","  Royals  ","Kauffman Stadium",88,0,-8.49969169910384,3.52068757775883,2022-08-12
"18","08:10 PM EST","  Athletics  ","  Astros  ","Minute Maid Park",88,0,0,0,2022-08-12
"19","08:15 PM EST","  Brewers  ","  Cardinals  ","Busch Stadium",79,0,-1.83688047535243,-4.43462175605418,2022-08-12
"20","08:40 PM EST","  Diamondbacks  ","  Rockies  ","Coors Field",94,0,2.1430272212445,5.17372538206321,2022-08-12
"21","09:38 PM EST","  Twins  ","  Angels  ","Angel Stadium",85,0,2.41090562390007,5.82044105482111,2022-08-12
"22","10:15 PM EST","  Pirates  ","  Giants  ","Oracle Park",65,0,-3.67376095070486,8.86924351210835,2022-08-12
"23","01:10 PM EST","  Braves  ","  Marlins  ","loanDepot park",88,0,0,0,2022-08-13
"24","03:07 PM EST","  Guardians  ","  Blue Jays  ","Rogers Centre",75,0,0,0,2022-08-13
"25","04:10 PM EST","  Orioles  ","  Rays  ","Tropicana Field",89,0,0,0,2022-08-13
"26","06:40 PM EST","  Cubs  ","  Reds  ","Great American Ball Park",81,0,0,-3.3,2022-08-13
"27","07:05 PM EST","  Padres  ","  Nationals  ","Nationals Park",82,0,-1.62634559672906,1.62634559672906,2022-08-13
"28","07:10 PM EST","  Braves  ","  Marlins  ","loanDepot park",85,0,0,0,2022-08-13
"29","07:10 PM EST","  Tigers  ","  White Sox  ","Guaranteed Rate Field",79,2,-3.67376095070486,-8.86924351210835,2022-08-13
"30","07:10 PM EST","  Phillies  ","  Mets  ","Citi Field",79,0,-3.81837661840736,-3.81837661840736,2022-08-13
"31","07:10 PM EST","  Dodgers  ","  Royals  ","Kauffman Stadium",97,0,-3.78856598041439,9.14640737186174,2022-08-13
"32","07:10 PM EST","  Athletics  ","  Astros  ","Minute Maid Park",87,0,0,0,2022-08-13
"33","07:15 PM EST","  Mariners  ","  Rangers  ","Globe Life Field",98,0,0,0,2022-08-13
"34","07:15 PM EST","  Brewers  ","  Cardinals  ","Busch Stadium",85,0,-7.02148444708578,2.90839408597468,2022-08-13
"35","07:15 PM EST","  Yankees  ","  Red Sox  ","Fenway Park",71,0,-1.49246538622385,-3.60313017679402,2022-08-13
"36","08:10 PM EST","  Diamondbacks  ","  Rockies  ","Coors Field",88,2,9.70073509136851,-4.01817603983345,2022-08-13
"37","09:05 PM EST","  Pirates  ","  Giants  ","Oracle Park",66,0,-3.09973580215723,7.48342421334142,2022-08-13
"38","09:07 PM EST","  Twins  ","  Angels  ","Angel Stadium",85,0,-2.44917396713658,5.91282900807224,2022-08-13
"39","12:05 PM EST","  Padres  ","  Nationals  ","Nationals Park",80,0,-1.07768918324967e-15,8.8,2022-08-14
"40","01:37 PM EST","  Guardians  ","  Blue Jays  ","Rogers Centre",74,0,0,0,2022-08-14
"41","01:40 PM EST","  Braves  ","  Marlins  ","loanDepot park",88,0,0,0,2022-08-14
"42","01:40 PM EST","  Orioles  ","  Rays  ","Tropicana Field",83,0,0,0,2022-08-14
"43","01:40 PM EST","  Phillies  ","  Mets  ","Citi Field",81,0,-7.83773951454306e-16,6.4,2022-08-14
"44","01:40 PM EST","  Cubs  ","  Reds  ","Great American Ball Park",77,8,-6.7,-4.10256677714363e-16,2022-08-14
"45","02:10 PM EST","  Tigers  ","  White Sox  ","Guaranteed Rate Field",74,0,9.14640737186174,3.78856598041439,2022-08-14
"46","02:10 PM EST","  Dodgers  ","  Royals  ","Kauffman Stadium",87,0,4.34223380280305,-1.79861213211592,2022-08-14
"47","02:10 PM EST","  Athletics  ","  Astros  ","Minute Maid Park",87,0,0,0,2022-08-14
"48","02:15 PM EST","  Brewers  ","  Cardinals  ","Busch Stadium",83,1,6.83670854058352,2.83185739950166,2022-08-14
"49","02:35 PM EST","  Mariners  ","  Rangers  ","Globe Life Field",94,0,0,0,2022-08-14
"50","03:10 PM EST","  Diamondbacks  ","  Rockies  ","Coors Field",88,0,-1.91341716182545,-4.61939766255643,2022-08-14
"51","04:05 PM EST","  Pirates  ","  Giants  ","Oracle Park",69,0,-2.37263728066356,5.72805310156998,2022-08-14
"52","04:07 PM EST","  Twins  ","  Angels  ","Angel Stadium",89,0,2.48744231037308,6.00521696132336,2022-08-14
"53","07:08 PM EST","  Yankees  ","  Red Sox  ","Fenway Park",77,0,-5.08133742881208,-2.10475887800799,2022-08-14
"54","03:10 PM EST","  Tigers  ","  Guardians  ","Progressive Field",78,0,-4.05644438306995,-9.79312304461964,2022-08-15
"55","06:40 PM EST","  Padres  ","  Marlins  ","loanDepot park",80,0,0,0,2022-08-15
"56","06:40 PM EST","  Tigers  ","  Guardians  ","Progressive Field",76,0,-4.36259112896202,-10.5322266706287,2022-08-15
"57","06:40 PM EST","  Phillies  ","  Reds  ","Great American Ball Park",82,0,7.3,-4.46996081688784e-16,2022-08-15
"58","07:05 PM EST","  Rays  ","  Yankees  ","Yankee Stadium",78,4,-7.29864830683917,-3.02319911568421,2022-08-15
"59","07:05 PM EST","  Cubs  ","  Nationals  ","Nationals Park",72,0,5.9,1.08381241724541e-15,2022-08-15
"60","07:07 PM EST","  Orioles  ","  Blue Jays  ","Rogers Centre",76,0,0,0,2022-08-15
"61","07:20 PM EST","  Mets  ","  Braves  ","Truist Park",88,5,-6.73555739531044e-16,5.5,2022-08-15
"62","07:40 PM EST","  Royals  ","  Twins  ","Target Field",78,0,-4.8,-2.93915231795365e-16,2022-08-15
"63","08:05 PM EST","  Athletics  ","  Rangers  ","Globe Life Field",99,0,0,0,2022-08-15
"64","08:10 PM EST","  Dodgers  ","  Brewers  ","American Family Field",71,0,0,0,2022-08-15
"65","08:10 PM EST","  Astros  ","  White Sox  ","Guaranteed Rate Field",73,0,8.22252783935045,3.4058825480493,2022-08-15
"66","09:38 PM EST","  Mariners  ","  Angels  ","Angel Stadium",83,0,-2.44917396713658,5.91282900807224,2022-08-15
"67","09:45 PM EST","  Diamondbacks  ","  Giants  ","Oracle Park",68,0,-1.6838071024064,4.06506994304966,2022-08-15
"68","06:40 PM EST","  Padres  ","  Marlins  ","loanDepot park",84,0,0,0,2022-08-16
"69","06:40 PM EST","  Phillies  ","  Reds  ","Great American Ball Park",81,0,8.1,-4.95981953654678e-16,2022-08-16
"70","07:05 PM EST","  Rays  ","  Yankees  ","Yankee Stadium",79,3,-3.21454083186675,-7.76058807309481,2022-08-16
"71","07:05 PM EST","  Red Sox  ","  Pirates  ","PNC Park",78,3,3.60624458405139,3.60624458405139,2022-08-16
"72","07:05 PM EST","  Cubs  ","  Nationals  ","Nationals Park",80,0,-2.75771644662754,-2.75771644662754,2022-08-16
"73","07:07 PM EST","  Orioles  ","  Blue Jays  ","Rogers Centre",76,0,0,0,2022-08-16
"74","07:10 PM EST","  Tigers  ","  Guardians  ","Progressive Field",76,1,-3.4058825480493,-8.22252783935045,2022-08-16
"75","07:20 PM EST","  Mets  ","  Braves  ","Truist Park",82,0,-3.42901103761259e-16,2.8,2022-08-16
"76","07:40 PM EST","  Royals  ","  Twins  ","Target Field",81,6,-5.3,-3.24531401774049e-16,2022-08-16
"77","07:45 PM EST","  Rockies  ","  Cardinals  ","Busch Stadium",79,3,-1.07151361062225,-2.5868626910316,2022-08-16
"78","08:05 PM EST","  Athletics  ","  Rangers  ","Globe Life Field",100,0,0,0,2022-08-16
"79","08:10 PM EST","  Dodgers  ","  Brewers  ","American Family Field",73,0,0,0,2022-08-16
"80","08:10 PM EST","  Astros  ","  White Sox  ","Guaranteed Rate Field",74,0,9.05401941861061,3.75029763717788,2022-08-16
"81","09:38 PM EST","  Mariners  ","  Angels  ","Angel Stadium",85,0,-2.37263728066356,5.72805310156998,2022-08-16
"82","09:45 PM EST","  Diamondbacks  ","  Giants  ","Oracle Park",73,0,-2.29610059419054,5.54327719506772,2022-08-16
"83","12:35 PM EST","  Phillies  ","  Reds  ","Great American Ball Park",77,6,4.66690475583121,-4.66690475583121,2022-08-17
"84","01:05 PM EST","  Cubs  ","  Nationals  ","Nationals Park",81,1,5.4,9.91963907309356e-16,2022-08-17
"85","01:10 PM EST","  Royals  ","  Twins  ","Target Field",79,1,-5.26598123633362e-16,4.3,2022-08-17
"86","03:07 PM EST","  Orioles  ","  Blue Jays  ","Rogers Centre",78,0,0,0,2022-08-17
"87","04:07 PM EST","  Mariners  ","  Angels  ","Angel Stadium",87,0,2.48744231037308,6.00521696132336,2022-08-17
"88","04:10 PM EST","  Padres  ","  Marlins  ","loanDepot park",89,0,0,0,2022-08-17
"89","07:05 PM EST","  Rays  ","  Yankees  ","Yankee Stadium",77,6,3.69551813004515,-1.53073372946036,2022-08-17
"90","07:05 PM EST","  Red Sox  ","  Pirates  ","PNC Park",77,5,3.11126983722081,3.11126983722081,2022-08-17
"91","07:10 PM EST","  Tigers  ","  Guardians  ","Progressive Field",75,1,-2.25783225095403,-5.45088924181659,2022-08-17
"92","07:20 PM EST","  Mets  ","  Braves  ","Truist Park",79,0,-3.79640507735679e-16,3.1,2022-08-17
"93","07:45 PM EST","  Rockies  ","  Cardinals  ","Busch Stadium",82,0,2.41090562390007,-5.82044105482111,2022-08-17
"94","08:05 PM EST","  Athletics  ","  Rangers  ","Globe Life Field",100,0,0,0,2022-08-17
"95","08:10 PM EST","  Dodgers  ","  Brewers  ","American Family Field",74,0,0,0,2022-08-17
"96","08:10 PM EST","  Astros  ","  White Sox  ","Guaranteed Rate Field",74,0,6.74432058733239,2.79358905626516,2022-08-17
"97","09:45 PM EST","  Diamondbacks  ","  Giants  ","Oracle Park",65,0,-2.64051568331912,6.37476877432788,2022-08-17
"98","01:15 PM EST","  Rockies  ","  Cardinals  ","Busch Stadium",81,0,0.994976924149233,-2.40208678452935,2022-08-18
"99","02:05 PM EST","  Athletics  ","  Rangers  ","Globe Life Field",82,0,0,0,2022-08-18
"100","02:10 PM EST","  Dodgers  ","  Brewers  ","American Family Field",81,0,0,0,2022-08-18
"101","02:10 PM EST","  Astros  ","  White Sox  ","Guaranteed Rate Field",80,0,-2.02822219153498,-4.89656152230982,2022-08-18
"102","03:05 PM EST","  Cubs  ","  Orioles  ","Oriole Park at Camden Yards",86,0,3.95979797464467,3.95979797464467,2022-08-18
"103","03:45 PM EST","  Diamondbacks  ","  Giants  ","Oracle Park",62,0,-1.83688047535243,4.43462175605418,2022-08-18
"104","07:05 PM EST","  Blue Jays  ","  Yankees  ","Yankee Stadium",82,0,-2.60224734008261,6.28238082107675,2022-08-18
"105","07:05 PM EST","  Red Sox  ","  Pirates  ","PNC Park",82,1,2.40416305603426,2.40416305603426,2022-08-18
"106","07:10 PM EST","  Royals  ","  Rays  ","Tropicana Field",84,0,0,0,2022-08-18
"107","07:20 PM EST","  Mets  ","  Braves  ","Truist Park",80,0,1.27279220613579,-1.27279220613579,2022-08-18
"108","09:40 PM EST","  Nationals  ","  Padres  ","Petco Park",76,0,7.02148444708578,-2.90839408597468,2022-08-18
"109","02:20 PM EST","  Brewers  ","  Cubs  ","Wrigley Field",82,0,-1.10218211923262e-15,9,2022-08-19
"110","07:05 PM EST","  Red Sox  ","  Orioles  ","Oriole Park at Camden Yards",84,1,-5.30330085889911,5.30330085889911,2022-08-19
"111","07:05 PM EST","  Blue Jays  ","  Yankees  ","Yankee Stadium",82,0,-9.79312304461964,-4.05644438306995,2022-08-19
"112","07:05 PM EST","  Mets  ","  Phillies  ","Citizens Bank Park",86,0,-1.08993565124114e-15,8.9,2022-08-19
"113","07:05 PM EST","  Reds  ","  Pirates  ","PNC Park",85,0,2.89913780286484,2.89913780286485,2022-08-19
"114","07:10 PM EST","  Royals  ","  Rays  ","Tropicana Field",88,0,0,0,2022-08-19
"115","07:10 PM EST","  Angels  ","  Tigers  ","Comerica Park",82,1,0,-7.9,2022-08-19
"116","07:10 PM EST","  White Sox  ","  Guardians  ","Progressive Field",79,0,-1.64553875916989,-3.97268198979853,2022-08-19
"117","07:20 PM EST","  Astros  ","  Braves  ","Truist Park",76,16,0,-2.4,2022-08-19
"118","08:10 PM EST","  Rangers  ","  Twins  ","Target Field",72,26,0,-3.6,2022-08-19
"119","08:40 PM EST","  Giants  ","  Rockies  ","Coors Field",82,8,4.34223380280305,-1.79861213211592,2022-08-19
"120","09:40 PM EST","  Nationals  ","  Padres  ","Petco Park",71,0,6.46715672757901,2.67878402655563,2022-08-19
"121","09:40 PM EST","  Mariners  ","  Athletics  ","Oakland Coliseum",67,0,-7.9602041944578e-16,6.5,2022-08-19
"122","09:40 PM EST","  Cardinals  ","  Diamondbacks  ","Chase Field",86,0,0,0,2022-08-19
"123","10:10 PM EST","  Marlins  ","  Dodgers  ","Dodger Stadium",78,0,2.89913780286484,2.89913780286485,2022-08-19
"124","01:05 PM EST","  Blue Jays  ","  Yankees  ","Yankee Stadium",89,0,-7.39103626009029,-3.06146745892072,2022-08-20
"125","01:05 PM EST","  Mets  ","  Phillies  ","Citizens Bank Park",90,1,-2.89913780286484,2.89913780286484,2022-08-20
"126","01:10 PM EST","  Angels  ","  Tigers  ","Comerica Park",83,2,-6.29325035256027,-6.29325035256027,2022-08-20
"127","02:20 PM EST","  Brewers  ","  Cubs  ","Wrigley Field",77,25,-7.14177848998413,7.14177848998413,2022-08-20
"128","04:05 PM EST","  Red Sox  ","  Orioles  ","Oriole Park at Camden Yards",89,0,-4.80832611206852,4.80832611206852,2022-08-20
"129","04:10 PM EST","  Royals  ","  Rays  ","Tropicana Field",94,0,0,0,2022-08-20
"130","06:10 PM EST","  White Sox  ","  Guardians  ","Progressive Field",81,3,-1.33939201327781,-3.2335783637895,2022-08-20
"131","07:05 PM EST","  Reds  ","  Pirates  ","PNC Park",86,2,4.5254833995939,4.5254833995939,2022-08-20
"132","07:10 PM EST","  Rangers  ","  Twins  ","Target Field",76,1,6.43467170879758,-6.43467170879758,2022-08-20
"133","07:15 PM EST","  Mets  ","  Phillies  ","Citizens Bank Park",86,0,-1.00421037530083e-15,8.2,2022-08-20
"134","07:15 PM EST","  Astros  ","  Braves  ","Truist Park",83,1,-1.27279220613579,-1.27279220613579,2022-08-20
"135","07:15 PM EST","  Mariners  ","  Athletics  ","Oakland Coliseum",76,0,5.51543289325507,5.51543289325507,2022-08-20
"136","08:10 PM EST","  Giants  ","  Rockies  ","Coors Field",70,33,6.37476877432788,2.64051568331912,2022-08-20
"137","08:10 PM EST","  Cardinals  ","  Diamondbacks  ","Chase Field",94,0,0,0,2022-08-20
"138","08:40 PM EST","  Nationals  ","  Padres  ","Petco Park",73,0,3.32934586157628,8.03775193284819,2022-08-20
"139","09:10 PM EST","  Marlins  ","  Dodgers  ","Dodger Stadium",80,0,-5.8783046359073e-16,4.8,2022-08-20
"140","01:35 PM EST","  Blue Jays  ","  Yankees  ","Yankee Stadium",83,0,-8.31491579260158,-3.44415089128581,2022-08-21
"141","01:35 PM EST","  Astros  ","  Braves  ","Truist Park",80,0,4.1,-2.51052593825207e-16,2022-08-21
"142","01:35 PM EST","  Mets  ","  Phillies  ","Citizens Bank Park",85,0,-3.39411254969543,3.39411254969543,2022-08-21
"143","01:35 PM EST","  Reds  ","  Pirates  ","PNC Park",74,17,4.5254833995939,4.5254833995939,2022-08-21
"144","01:40 PM EST","  Royals  ","  Rays  ","Tropicana Field",89,0,0,0,2022-08-21
"145","01:40 PM EST","  Angels  ","  Tigers  ","Comerica Park",74,39,-3.88908729652601,-3.88908729652601,2022-08-21
"146","02:10 PM EST","  Rangers  ","  Twins  ","Target Field",77,0,4.3,7.89897185450043e-16,2022-08-21
"147","02:20 PM EST","  Brewers  ","  Cubs  ","Wrigley Field",74,6,0,-10.4,2022-08-21
"148","03:10 PM EST","  Giants  ","  Rockies  ","Coors Field",81,0,1.14805029709527,-2.77163859753386,2022-08-21
"149","04:07 PM EST","  Mariners  ","  Athletics  ","Oakland Coliseum",71,0,-7.47034547479885e-16,6.1,2022-08-21
"150","04:10 PM EST","  Nationals  ","  Padres  ","Petco Park",72,0,5.54327719506772,2.29610059419054,2022-08-21
"151","04:10 PM EST","  Marlins  ","  Dodgers  ","Dodger Stadium",78,0,-4.65365783675994e-16,3.8,2022-08-21
"152","04:10 PM EST","  Cardinals  ","  Diamondbacks  ","Chase Field",92,0,0,0,2022-08-21
"153","07:10 PM EST","  Red Sox  ","  Orioles  ","Muncy Bank Ballpark",82,15,-2.75532071302865,6.65193263408126,2022-08-21
"154","02:10 PM EST","  White Sox  ","  Royals  ","Kauffman Stadium",82,0,-2.48744231037308,-6.00521696132336,2022-08-22
"155","07:05 PM EST","  Mets  ","  Yankees  ","Yankee Stadium",76,19,-4.15745789630079,-1.7220754456429,2022-08-22
"156","07:05 PM EST","  Reds  ","  Phillies  ","Citizens Bank Park",80,20,-4.77612251667468e-16,3.9,2022-08-22
"157","07:05 PM EST","  Braves  ","  Pirates  ","PNC Park",75,23,1.20208152801713,1.20208152801713,2022-08-22
"158","07:10 PM EST","  Rangers  ","  Twins  ","Target Field",81,0,3,5.51091059616309e-16,2022-08-22
"159","07:10 PM EST","  Angels  ","  Rays  ","Tropicana Field",89,0,0,0,2022-08-22
"160","08:05 PM EST","  Cardinals  ","  Cubs  ","Wrigley Field",73,0,-3.32340187157677,-3.32340187157677,2022-08-22
"161","09:40 PM EST","  Marlins  ","  Athletics  ","Oakland Coliseum",73,0,-8.69499227394621e-16,7.1,2022-08-22
"162","10:10 PM EST","  Brewers  ","  Dodgers  ","Dodger Stadium",74,0,2.54558441227157,2.54558441227157,2022-08-22
"163","02:20 PM EST","  Cardinals  ","  Cubs  ","Wrigley Field",79,0,-2.82842712474619,-2.82842712474619,2022-08-23
"164","07:05 PM EST","  Mets  ","  Yankees  ","Yankee Stadium",82,9,-2.71705236979214,6.55954468083014,2022-08-23
"165","07:05 PM EST","  Reds  ","  Phillies  ","Citizens Bank Park",83,2,6.6,1.21240033115588e-15,2022-08-23
"166","07:05 PM EST","  Braves  ","  Pirates  ","PNC Park",80,2,1.5556349186104,1.55563491861041,2022-08-23
"167","07:05 PM EST","  White Sox  ","  Orioles  ","Oriole Park at Camden Yards",85,1,6.5,1.19403062916867e-15,2022-08-23
"168","07:10 PM EST","  Angels  ","  Rays  ","Tropicana Field",88,0,0,0,2022-08-23
"169","07:10 PM EST","  Giants  ","  Tigers  ","Comerica Park",80,0,-3.46482322781408,3.46482322781408,2022-08-23
"170","07:10 PM EST","  Blue Jays  ","  Red Sox  ","Fenway Park",71,31,2.02822219153498,-4.89656152230982,2022-08-23
"171","08:05 PM EST","  Cardinals  ","  Cubs  ","Wrigley Field",77,0,-4.1,-2.51052593825207e-16,2022-08-23
"172","08:10 PM EST","  Diamondbacks  ","  Royals  ","Kauffman Stadium",82,0,-2.37263728066356,-5.72805310156998,2022-08-23
"173","08:10 PM EST","  Twins  ","  Astros  ","Minute Maid Park",88,0,0,0,2022-08-23
"174","08:40 PM EST","  Rangers  ","  Rockies  ","Coors Field",86,1,1.87514881858894,-4.52700970930531,2022-08-23
"175","09:40 PM EST","  Guardians  ","  Padres  ","Petco Park",72,0,5.35850128856546,2.21956390771752,2022-08-23
"176","09:40 PM EST","  Marlins  ","  Athletics  ","Oakland Coliseum",71,0,-7.10295143505465e-16,5.8,2022-08-23
"177","10:10 PM EST","  Nationals  ","  Mariners  ","T-Mobile Park",76,0,0,0,2022-08-23
"178","10:10 PM EST","  Brewers  ","  Dodgers  ","Dodger Stadium",77,1,2.54558441227157,2.54558441227157,2022-08-23
