coach teams,pace teams,PFF,LS,Injuries,depth_chart,imp_totals,2021
Air Force,Air Force,AIR FORCE,,,,,Air Force
Akron,Akron,AKRON,,,,,Oregon
Alabama,Alabama,ALABAMA,BAMA,Alabama Crimson Tide,Alabama,,Alabama
Appalachian State,App State,APP STATE,APPST,,,,Central Michigan
Arizona,Arizona,ARIZONA,ARIZ,,,,Arizona
Arizona State,Arizona St,ARIZONA ST,ASU,Arizona State Sun Devils,,,Arizona State
Arkansas,Arkansas,ARKANSAS,ARK,Arkansas Razorbacks,,,Arkansas
Arkansas State,Arkansas St,ARK STATE,ARST,,,,Arkansas State
Army,Army,ARMY,ARMY,,,,Army
Auburn,Auburn,AUBURN,AUB,Auburn Tigers,,,Auburn
Ball State,Ball State,BALL ST,BALL,,,Ball State,Ball State
Baylor,Baylor,BAYLOR,BAY,,,,Baylor
Boise State,Boise State,BOISE ST,BSU,,,,Boise State
Boston College,Boston Col,BOSTON COL,BC,,,,Notre Dame
Bowling Green,Bowling Grn,BOWL GREEN,,,,,Bowling Green
Buffalo,Buffalo,BUFFALO,BUFF,,,,Buffalo
BYU,BYU,BYU,BYU,,,,BYU
California,California,CAL,CAL,,,,California
Central Michigan,Central Mich,C MICHIGAN,CMU,,,Central Michigan,Clemson
Charlotte,Charlotte,CHARLOTTE,CHAR,,,Charlotte,Charlotte
Cincinnati,Cincinnati,CINCINNATI,CINCY,,,,Cincinnati
Clemson,Clemson,CLEMSON,CLEM,Clemson Tigers,,,Clemson
Coastal Carolina,Coastal Car,COAST CAR,C-C,Coastal Carolina Chanticleers,,,Coastal Carolina
Colorado,Colorado,COLORADO,COL,Colorado Buffaloes,,,Minnesota
Colorado State,Colorado St,COLO STATE,,,,,Nevada
Connecticut,Connecticut,UCONN,UCONN,Connecticut Huskies,Uconn,UConn,Connecticut
Duke,Duke,DUKE,DUKE,,,,Memphis
East Carolina,E Carolina,E CAROLINA,ECU,East Carolina Pirates,,,East Carolina
Eastern Michigan,E Michigan,E MICHIGAN,,,,,Eastern Michigan
Florida,Florida,FLORIDA,UF,Florida Gators,,,Florida
Florida Atlantic,Fla Atlantic,FAU,FAU,,,Florida Atlantic,Florida Atlantic
Florida International,Florida Intl,FIU,,,Florida Intl,,Texas Tech
Florida State,Florida St,FLORIDA ST,FSU,Florida State Seminoles,Florida State,Florida State,Florida State
Fresno State,Fresno St,FRESNO ST,FRES,,,,Fresno State
Georgia,Georgia,GEORGIA,UGA,Georgia Bulldogs,,,Georgia
Georgia Southern,GA Southern,GA SOUTHRN,,,,,Western Kentucky
Georgia State,Georgia State,GA STATE,,,,,Georgia State
Georgia Tech,GA Tech,GA TECH,GT,,,,Tulane
Hawai'i,Hawaii,HAWAII,HAW,,Hawaii,Hawaii,Virginia
Houston,Houston,HOUSTON,UH,Houston Cougars,,,Houston
Illinois,Illinois,ILLINOIS,IL,Illinois Fighting Illini,Illinois,Illinois,UT San Antonio
Indiana,Indiana,INDIANA,IU,Indiana Hoosiers,,,UMass
Iowa,Iowa,IOWA,IOWA,Iowa Hawkeyes,,,Iowa
Iowa State,Iowa State,IOWA STATE,ISU,Iowa State Cyclones,,,Iowa State
Kansas,Kansas,KANSAS,KU,,,,Kansas
Kansas State,Kansas St,KANSAS ST,KSU,Kansas State Wildcats,,,Kansas State
Kent State,Kent State,KENT STATE,KENT,,,,Kent State
Kentucky,Kentucky,KENTUCKY,UK,Kentucky Wildcats,,,Kentucky
Liberty,Liberty,LIBERTY,LIB,Liberty Flames,,,Liberty
Louisiana,LA Lafayette,LA LAFAYET,ULL,,,,Louisiana
Louisiana Monroe,LA Monroe,LA MONROE,,,,,Louisiana Monroe
Louisiana Tech,LA Tech,LA TECH,LT,,,Louisiana Tech,Texas Tech
Louisville,Louisville,LOUISVILLE,UL,Louisville Cardinals,,,Notre Dame
LSU,LSU,LSU,LSU,Louisiana State Tigers,,,Cincinnati
Marshall,Marshall,MARSHALL,MRSHL,Marshall Thundering Herd,,,Marshall
Maryland,Maryland,MARYLAND,UMD,Maryland Terrapins,,,Maryland
Memphis,Memphis,MEMPHIS,MEM,Memphis Tigers,,,Marshall
Miami,Miami (FL),MIAMI FL,MIA,Miami Hurricanes,,,Michigan
Miami (OH),Miami (OH),MIAMI OH,MIAOH,,,,Miami (OH)
Michigan,Michigan,MICHIGAN,MICH,,,,Michigan
Michigan State,Michigan St,MICH STATE,MSU,,,,Michigan State
Middle Tennessee,Middle Tenn,MIDDLE TN,,,,,Virginia
Minnesota,Minnesota,MINNESOTA,MINN,,,Minnesota,West Virginia
Mississippi State,Miss State,MISS STATE,MSST,,,,Mississippi State
Missouri,Missouri,MISSOURI,MIZZ,,,Missouri,Missouri
Navy,Navy,NAVY,NAVY,,,,Navy
NC State,NC State,NC STATE,NCST,,,,NC State
Nebraska,Nebraska,NEBRASKA,NEB,Nebraska Cornhuskers,Nebraska,Nebraska,Pittsburgh
Nevada,Nevada,NEVADA,NEV,Nevada Wolf Pack,Nevada,Nevada,UCLA
New Mexico,New Mexico,NEW MEXICO,UNM,,,,New Mexico
New Mexico State,N Mex State,NEW MEX ST,NMST,New Mexico State Aggies,New Mexico State,New Mexico State,TCU
North Carolina,N Carolina,N CAROLINA,UNC,North Carolina Tar Heels,North Carolina,North Carolina,North Carolina
North Texas,North Texas,N TEXAS,NT,UNT,North Texas,North Texas,North Texas
Northern Illinois,N Illinois,N ILLINOIS,NIU,Northern Illinois Huskies,,,Northern Illinois
Northwestern,Northwestern,NWESTERN,NW,,Northwestern,Northwestern,Northwestern
Notre Dame,Notre Dame,NOTRE DAME,ND,Notre Dame Fighting Irish,Notre Dame,,Notre Dame
Ohio,Ohio,OHIO,,,,,Ohio
Ohio State,Ohio State,OHIO STATE,OSU,Ohio State Buckeyes,,,Ohio State
Oklahoma,Oklahoma,OKLAHOMA,OU,,,,Ole Miss
Oklahoma State,Oklahoma St,OKLA STATE,OKST,Oklahoma State Cowboys,,Oklahoma State,Oklahoma State
Old Dominion,Old Dominion,DOMINION,,,,,Old Dominion
Ole Miss,Mississippi,OLE MISS,MISS,Mississippi Rebels,,,South Florida
Oregon,Oregon,OREGON,ORE,,,,Florida State
Oregon State,Oregon St,OREGON ST,ORST,Oregon State Beavers,,,Oregon State
Penn State,Penn State,PENN STATE,PSU,,,Penn State,Penn State
Pittsburgh,Pittsburgh,PITTSBURGH,PITT,,,Pittsburgh,Boston College
Purdue,Purdue,PURDUE,PUR,Purdue Boilermakers,,Purdue,Purdue
Rice,Rice,RICE,,,,,Rice
Rutgers,Rutgers,RUTGERS,RU,Rutgers Scarlet Knights,,,Rutgers
San Diego State,San Diego St,S DIEGO ST,SDSU,San Diego State Aztecs,,,San Diego State
San José State,San Jose St,S JOSE ST,,,,,San Diego State
SMU,S Methodist,SMU,SMU,,,,Missouri
South Alabama,S Alabama,S ALABAMA,,South Alabama Jaguars,,,South Alabama
South Carolina,S Carolina,S CAROLINA,SCAR,South Carolina Gamecocks,,,South Carolina
South Florida,S Florida,USF,USF,South Florida Bulls,,,South Florida
Southern Mississippi,S Mississippi,SO MISS,USM,,,,Liberty
Stanford,Stanford,STANFORD,STAN,,,,Stanford
Syracuse,Syracuse,SYRACUSE,SYR,Syracuse Orange,,,Virginia
TCU,TX Christian,TCU,TCU,,,,SMU
Temple,Temple,TEMPLE,TEMP,,,,Colorado
Tennessee,Tennessee,TENNESSEE,TENN,Tennessee Volunteers,,Tennessee,Tennessee
Texas,Texas,TEXAS,UT,Texas Longhorns,,,Texas
Texas A&M,Texas A&M,TEXAS A&M,TA&M,,,,Texas A&M
Texas State,Texas State,TEXAS ST,,,,,Texas State
Texas Tech,Texas Tech,TEXAS TECH,TTU,Texas Tech Red Raiders,,,Western Kentucky
Toledo,Toledo,TOLEDO,TOL,,,,Toledo
Troy,Troy,TROY,,,,,UAB
Tulane,Tulane,TULANE,TUL,,,,Tulane
Tulsa,Tulsa,TULSA,TLSA,,,,Tulsa
UAB,UAB,UAB,UAB,,,,UAB
UCF,Central FL,UCF,UCF,,,,Troy
UCLA,UCLA,UCLA,UCLA,,,,UCLA
UMass,U Mass,UMASS,,,,,Michigan
UNLV,UNLV,UNLV,UNLV,,UNLV,UNLV,UNLV
USC,USC,USC,USC,Southern California Trojans,,,Texas A&M
UT San Antonio,TX-San Ant,UTSA,,,,,UT San Antonio
Utah,Utah,UTAH,UTAH,,,,Utah
Utah State,Utah State,UTAH ST,UTST,Texas-San Antonio Roadrunners,Utah State,Utah State,Utah State
UTEP,TX El Paso,UTEP,UTEP,Texas El Paso Miners,UTEP,UTEP,UTEP
Vanderbilt,Vanderbilt,VANDERBILT,VAND,Vanderbilt Commodores,Vanderbilt,Vanderbilt,Vanderbilt
Virginia,Virginia,VIRGINIA,UV,Virginia Cavaliers,,,NC State
Virginia Tech,VA Tech,VA TECH,VT,Virginia Tech Hokies,,,Virginia Tech
Wake Forest,Wake Forest,WAKE,WAKE,Wake Forest Demon Deacons,,,Wake Forest
Washington,Washington,WASHINGTON,UW,Washington Huskies,,,Fresno State
Washington State,Wash State,WASH STATE,WSU,Washington State Cougars,,,Western Kentucky
West Virginia,W Virginia,W VIRGINIA,WVU,West Virginia Mountaineers,,West Virginia,USC
Western Kentucky,W Kentucky,W KENTUCKY,WKU,,Western Kentucky,Western Kentucky,Western Kentucky
Western Michigan,W Michigan,W MICHIGAN,WMU,,,,Western Michigan
Wisconsin,Wisconsin,WISCONSIN,WISC,Wisconsin Badgers,,,Wisconsin
Wyoming,Wyoming,WYOMING,WYO,Wyoming Cowboys,Wyoming,Wyoming,Wyoming
,,,IDS,,,Idaho State,
,,,APSU,,,Austin Peay,
,,,DUQ,,,Duquesne,
,,,FAMU,,,Florida A&M,